timestamp,status,iou,h_det,h_gt,l_det,l_gt,score,type_det,type_gt,w_det,w_gt,x_det,x_gt,y_det,y_gt,z_det,z_gt
22463.616,fp,0.0,1.4129064083099363,,3.2256417274475098,,1.0,Car,,1.5428904294967651,,8.823116431324776,,-1.9221881204085427,,-0.8097322996413538,
22463.666,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.666,fp,0.0,1.394592523574829,,3.1081452369689937,,1.0,Car,,1.5237021446228027,,8.545655075424042,,-1.8618038567343425,,-0.8098233131090193,
22463.716,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.716,fp,0.0,1.42043137550354,,3.232507705688477,,1.0,Car,,1.5404618978500366,,8.837817535502719,,-1.9180695408310133,,-0.8116086056356835,
22463.766,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.766,fp,0.0,1.4317069053649902,,3.3322570323944087,,1.0,Car,,1.5582062005996704,,9.12110379138656,,-1.988432179300502,,-0.8398427958523556,
22463.816,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.816,fp,0.0,1.4234837293624878,,3.2976071834564213,,1.0,Car,,1.5438132286071775,,8.927284653884097,,-1.9362396069481103,,-0.8228359990842141,
22463.866,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.866,fp,0.0,1.3924331665039062,,3.1210033893585205,,1.0,Car,,1.527823567390442,,8.709221984044367,,-1.9004526300440392,,-0.796742497498018,
22463.916,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.916,fp,0.0,1.416643500328064,,3.2024829387664795,,1.0,Car,,1.5387613773345947,,8.71076993853366,,-1.8964985082227372,,-0.7852328789380323,
22463.966,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.966,fp,0.0,1.4204845428466797,,3.2666535377502437,,1.0,Car,,1.5538835525512695,,9.117097299262591,,-1.991037795665057,,-0.8373052613636531,
22464.016,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
